万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,94951000,65,216700,1,1,1400,
300446.SZ,300446,20171229,94951000,66,216600,1,1,1600,
300446.SZ,300446,20171229,95000000,65,216700,1,1,1400,
300446.SZ,300446,20171229,95000000,66,216600,1,1,700,
300446.SZ,300446,20171229,95009000,65,216700,2,2,1400,3900,
300446.SZ,300446,20171229,95009000,66,216600,1,1,700,
300446.SZ,300446,20171229,95015000,65,216700,2,2,1400,3900,
300446.SZ,300446,20171229,95015000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95030000,65,216700,3,3,1400,3900,3000,
300446.SZ,300446,20171229,95030000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95100000,65,216600,2,2,1500,200,
300446.SZ,300446,20171229,95100000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95109000,65,216600,3,3,1300,200,500,
300446.SZ,300446,20171229,95109000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95112000,65,216600,4,4,1300,200,500,200,
300446.SZ,300446,20171229,95112000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95127000,65,216600,4,4,900,200,500,200,
300446.SZ,300446,20171229,95127000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95136000,65,216600,4,4,600,200,500,200,
300446.SZ,300446,20171229,95136000,66,216500,2,2,300,2000,
300446.SZ,300446,20171229,95154000,65,216600,4,4,600,200,500,200,
300446.SZ,300446,20171229,95154000,66,216500,1,1,1800,
300446.SZ,300446,20171229,95203000,65,216600,4,4,300,200,500,200,
300446.SZ,300446,20171229,95203000,66,216500,1,1,1800,
300446.SZ,300446,20171229,95209000,65,216600,2,2,500,200,
300446.SZ,300446,20171229,95209000,66,216500,1,1,1800,
300446.SZ,300446,20171229,95218000,65,216600,3,3,500,200,500,
300446.SZ,300446,20171229,95218000,66,216500,1,1,1800,
300446.SZ,300446,20171229,95221000,65,216600,3,3,500,200,500,
300446.SZ,300446,20171229,95221000,66,216500,1,1,1700,
300446.SZ,300446,20171229,95224000,65,216600,1,1,400,
300446.SZ,300446,20171229,95224000,66,216500,1,1,1700,
300446.SZ,300446,20171229,95230000,65,216600,2,2,400,1000,
300446.SZ,300446,20171229,95230000,66,216500,2,2,1700,1000,
300446.SZ,300446,20171229,95239000,65,216600,2,2,400,1000,
300446.SZ,300446,20171229,95239000,66,216500,3,3,500,1000,2000,
300446.SZ,300446,20171229,95251000,65,216600,2,2,400,1000,
300446.SZ,300446,20171229,95251000,66,216500,2,2,1000,2000,
300446.SZ,300446,20171229,95309000,65,216600,1,1,400,
300446.SZ,300446,20171229,95309000,66,216500,2,2,1000,2000,
300446.SZ,300446,20171229,95318000,65,216600,1,1,300,
300446.SZ,300446,20171229,95318000,66,216500,2,2,1000,2000,
300446.SZ,300446,20171229,95324000,65,216600,1,1,300,
300446.SZ,300446,20171229,95324000,66,216500,1,1,1500,
300446.SZ,300446,20171229,95330000,65,216600,2,2,300,400,
300446.SZ,300446,20171229,95330000,66,216500,1,1,1500,
