万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
603538.SH,603538,20171229,101409000,66,267000,7,7,400,100,300,300,1000,500,1000,
603538.SH,603538,20171229,101333000,65,267700,1,1,300,
603538.SH,603538,20171229,101415000,66,267000,2,2,300,1000,
603538.SH,603538,20171229,101427000,65,267000,1,1,1700,
603538.SH,603538,20171229,101427000,66,266900,1,1,5500,
603538.SH,603538,20171229,101427000,65,267000,1,1,1700,
603538.SH,603538,20171229,101436000,66,266900,1,1,4400,
603538.SH,603538,20171229,101427000,65,267000,1,1,1700,
603538.SH,603538,20171229,101442000,66,266900,1,1,3100,
603538.SH,603538,20171229,101445000,65,267000,1,1,300,
603538.SH,603538,20171229,101442000,66,266900,1,1,3100,
603538.SH,603538,20171229,101445000,65,267000,1,1,300,
603538.SH,603538,20171229,101500000,66,266900,1,1,2800,
603538.SH,603538,20171229,101506000,65,266900,1,1,200,
603538.SH,603538,20171229,101506000,66,266800,4,4,500,100,1000,500,
603538.SH,603538,20171229,101509000,65,266900,1,1,100,
603538.SH,603538,20171229,101506000,66,266800,4,4,500,100,1000,500,
603538.SH,603538,20171229,101509000,65,266900,1,1,100,
